"~start_node_id","~start_node_labels","~start_node_property_importance","~start_node_property_name","~start_node_property_id","~relationship_type","~relationship_property_weight","~end_node_id","~end_node_labels","~end_node_property_importance","~end_node_property_name","~end_node_property_id"
"4:fad52c8e-5723-4858-b267-bba2f5249516:1860","Author",54,"Xinyuan Chen",1860,"CO_AUTHORED_WITH",8,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:1861","Author",54,"Yaohui Wang 0001",1861,"CO_AUTHORED_WITH",8,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:1956","Author",85,"Rongjie Huang 0001",1956,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2157","Author",30,"Chao Yang 0026",2157,"CO_AUTHORED_WITH",5,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2158","Author",4,"Ying Wen",2158,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2159","Author",53,"Yu Liu 0015",2159,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2201","Author",81,"Si Liu 0001",2201,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2202","Author",177,"Hongsheng Li 0001",2202,"CO_AUTHORED_WITH",7,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2271","Author",30,"Lin Gu 0003",2271,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2834","Author",32,"Enshen Zhou",2834,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:2841","Author",45,"Liang He 0001",2841,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3129","Author",58,"Shuo Liu",3129,"CO_AUTHORED_WITH",5,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3252","Author",72,"Hang Yan 0001",3252,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3259","Author",59,"Senjie Jin",3259,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3263","Author",78,"Rui Zheng",3263,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3340","Author",59,"Jie Wen 0001",3340,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3463","Author",87,"Xuanjing Huang 0001",3463,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3509","Author",82,"Feng Zhao 0004",3509,"CO_AUTHORED_WITH",3,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:3713","Author",45,"Tianyi Zhang",3713,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4073","Author",170,"Junchi Yan",4073,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4092","Author",30,"Haibao Yu",4092,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4097","Author",193,"Ping Luo 0002",4097,"CO_AUTHORED_WITH",12,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4700","Author",64,"Wenwei Zhang",4700,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4702","Author",96,"Chen Change Loy",4702,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4734","Author",21,"Jingwen He",4734,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4762","Author",75,"Ying Chen",4762,"CO_AUTHORED_WITH",2,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:4825","Author",44,"Lu Qi 0001",4825,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5198","Author",56,"Chongjian Ge",5198,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5236","Author",47,"Cairong Zhao",5236,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5401","Author",45,"Bohan Zhuang",5401,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5595","Author",50,"Jiantao Zhou 0001",5595,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5637","Author",27,"Shilin Yan",5637,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5638","Author",20,"Wenchao Chen",5638,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5639","Author",23,"Wei Zhang 0016",5639,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5640","Author",36,"Hongyang Li 0001",5640,"CO_AUTHORED_WITH",2,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:5642","Author",143,"Peng Gao 0007",5642,"CO_AUTHORED_WITH",5,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6360","Author",56,"Jun Zhang",6360,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6435","Author",30,"Pengfei Zhou",6435,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6436","Author",30,"Xiaopeng Peng 0001",6436,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6441","Author",30,"Jiajun Song",6441,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6442","Author",38,"Chuanhao Li 0001",6442,"CO_AUTHORED_WITH",3,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6450","Author",114,"Kai Wang 0036",6450,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6451","Author",126,"Wenqi Shao",6451,"CO_AUTHORED_WITH",11,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6452","Author",102,"Yang You 0001",6452,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6453","Author",118,"Kaipeng Zhang",6453,"CO_AUTHORED_WITH",12,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6626","Author",39,"Tianle Zhang",6626,"CO_AUTHORED_WITH",2,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6679","Author",83,"Xintao Wang 0002",6679,"CO_AUTHORED_WITH",2,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:6765","Author",103,"Gao Huang 0001",6765,"CO_AUTHORED_WITH",2,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7028","Author",41,"Bihan Wen",7028,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7276","Author",24,"Shenyuan Gao",7276,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7500","Author",5,"Haonan Duan 0001",7500,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7501","Author",5,"Haoran Hao 0003",7501,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7502","Author",113,"Jifeng Dai",7502,"CO_AUTHORED_WITH",14,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7692","Author",138,"Rongrong Ji",7692,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:7892","Author",33,"Xiangyang Zhu",7892,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:8266","Author",4,"Bo Peng 0015",8266,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:8267","Author",34,"Chaochao Lu",8267,"CO_AUTHORED_WITH",1,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
"4:fad52c8e-5723-4858-b267-bba2f5249516:8392","Author",63,"Bin Fu",8392,"CO_AUTHORED_WITH",3,"4:fad52c8e-5723-4858-b267-bba2f5249516:975","Author",412,"Yu Qiao 0001",975
